X;Y;full_id;osm_id;osm_type;building;addr:housenumber;addr:place;addr:postcode;man_made;name;website;
6426488.565277036;5659146.586011201;w203613372;203613372;way;yes;;;;;;;
6426517.162780571;5659139.681342198;w203613372;203613372;way;yes;;;;;;;
6426512.567466988;5659120.74361837;w203613372;203613372;way;yes;;;;;;;
6426497.342899527;5659124.420518099;w203613372;203613372;way;yes;;;;;;;
6426499.487864731;5659133.257367733;w203613372;203613372;way;yes;;;;;;;
6426486.114850272;5659136.485156041;w203613372;203613372;way;yes;;;;;;;
6426488.565277036;5659146.586011201;w203613372;203613372;way;yes;;;;;;;


6426525.86039921;5659017.294451677;w676511987;676511987;way;yes;;;;;;;
6426517.750192718;5659020.858918642;w676511987;676511987;way;yes;;;;;;;
6426524.13247519;5659035.298581406;w676511987;676511987;way;yes;;;;;;;
6426532.242662801;5659031.73412422;w676511987;676511987;way;yes;;;;;;;
6426525.86039921;5659017.294451677;w676511987;676511987;way;yes;;;;;;;
